,IB1,IB2,IIN1,IIN2,IOUT1,IOUT2,NET2,NET3,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,NPN7,NPN8,R1,VIN1,VIN2,VSS
IB1,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0
IB2,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,R_C,0,0,0
IIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,B_B,B_B,0,0,0,0
IIN2,0,0,0,0,0,0,0,0,0,0,B_B,B_BC,B_B,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_C,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,B_C,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,B_C,0,0,B_E,0,0,B_E,0,0,0,0
NET3,0,0,0,0,0,0,0,0,B_C,0,B_E,0,0,0,B_E,0,0,0,0,0
NPN1,0,B_E,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,B_B,0
NPN2,B_E,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,B_B,0,0
NPN3,0,0,0,B_B,0,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0
NPN4,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN5,0,0,0,B_B,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN6,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN7,0,0,B_B,0,B_C,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0
NPN8,0,0,B_B,0,0,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,B_E,0,B_E,0,0,0,0,0,0
