,IB1,IB2,IB3,IB4,IOUT1,IOUT2,NET2,NET3,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,NPN7,NPN8,R1,VDD,VIN1,VIN2,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_C,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_B,0,B_B,0,0,0,0,0
IB4,0,0,0,0,0,0,0,0,B_E,B_B,0,B_B,0,0,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_C,R_C,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,B_E,B_C,0,0,0,0,R_C,0,0,0,0
NPN1,0,B_B,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0
NPN2,0,0,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN3,0,B_C,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,B_B,0
NPN4,0,0,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN5,B_B,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0
NPN6,0,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN7,B_C,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0
NPN8,0,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
R1,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,B_C,0,0,0,B_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,B_E,0,B_E,0,B_E,0,B_E,0,0,0,0,0
