,IB1,IB2,IB3,IB4,IOUT1,IOUT2,NM1,NM2,NM3,NM4,PM1,PM2,PM3,VCONT1,VDD,VIN1,VIN2,VSS
IB1,0,0,0,0,0,0,0,0,0,M_D,0,M_S,M_S,0,0,0,0,0
IB2,0,0,0,0,0,0,0,M_D,0,0,M_S,M_D,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,M_G,M_G,0,0,M_D,0,0,0,0,0
IB4,0,0,0,0,0,0,M_G,M_G,0,0,M_D,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,M_B,0,M_G,0
PM2,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B,0,0,0
PM3,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_B,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0
