,IOUT1,IOUT2,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,R1,R2,R3,R4,R5,R6,VDD,VIN1,VIN2,VSS
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,R_C,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,R_C,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,B_E,B_E,0,0,R_C,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,B_BC,0,0,B_B,0,0,R_C,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,0,0,0,0,0,R_C,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,B_BC,B_B,0,0,R_C,0,0,0,0,0,0,0,0
NPN1,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_B,0,0
NPN2,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0
NPN3,0,0,0,0,B_E,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN4,0,0,0,0,B_E,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN5,0,B_C,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN6,B_C,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,R_C,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R5,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R6,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,B_C,B_C,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,R_C,0,0,0,0
