,C1,C2,IB1,IB2,IB3,NET10,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,NPN7,NPN8,PM1,PM2,PM3,PM4,VB1,VCM1,VCONT1,VDD,VIN1,VIN2,VIN3,VIN4,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,M_S,0,0,B_C,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,B_C,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0
NET10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_B,0,B_BC,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_D,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_D,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,B_E,0,B_E,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,M_BS,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0
NM2,0,0,M_BS,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0
NM3,0,0,M_BS,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0
NM4,0,0,M_BS,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0
