,IB1,IB2,IB3,IB4,IOUT1,IOUT2,NPN1,NPN2,NPN3,NPN4,PM1,PM2,R1,VIN1,VIN2,VSS
IB1,0,0,0,0,0,0,B_B,B_B,0,0,0,M_D,0,0,0,0
IB2,0,0,0,0,0,0,0,0,B_B,B_B,M_D,0,0,0,0,0
IB3,0,0,0,0,0,0,B_C,0,0,0,0,M_BS,R_C,0,0,0
IB4,0,0,0,0,0,0,0,0,0,B_C,M_BS,0,R_C,0,0,0
IOUT1,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0
NPN1,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,B_E
NPN3,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0,0,B_E
NPN4,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,B_E
PM1,0,M_D,0,M_BS,0,0,0,0,0,0,0,0,0,0,M_G,0
PM2,M_D,0,M_BS,0,0,0,0,0,0,0,0,0,0,M_G,0,0
R1,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0
VSS,0,0,0,0,0,0,B_E,B_E,B_E,B_E,0,0,0,0,0,0
