,IOUT1,IOUT2,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN10,NPN2,NPN3,NPN4,NPN5,NPN6,NPN7,NPN8,NPN9,PM1,PM2,PM3,PM4,VCONT1,VCONT2,VDD,VIN1,VIN2,VSS
IOUT1,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,B_C,0,0,0,0,M_D,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_C,0,0,0,0,M_D,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,B_C,B_E,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,B_BC,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,B_BC,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,B_B,B_BC,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN10,0,0,0,0,0,0,B_BC,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,0,0,B_E,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN3,0,0,0,B_C,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN4,B_C,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0
NPN5,0,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0
NPN6,0,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0
NPN7,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0
NPN8,0,0,B_C,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN9,0,0,0,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
PM1,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,M_G,0
PM2,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,M_G,0
PM3,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_G,0,0
PM4,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_G,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,B_E,0,0,B_E,0,0,0,0,B_E,B_E,0,0,0,0,0,0,0,0,0,0
