,C1,C2,IB1,IB2,NET2,NET3,NM1,NM2,NM3,NM4,NPN1,NPN2,NPN3,NPN4,R1,R2,VCONT1,VCONT2,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
IB1,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,B_E,0,0,B_E,0,0,0,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,M_S,M_S,0,0,B_B,B_B,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,C_C,0,0,0,0,0,0,M_S,M_S,0,0,B_B,B_B,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,0,0,M_B
NM2,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,M_B
NM3,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,M_B
NM4,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,M_B
NPN1,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0
NPN2,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0
NPN3,0,0,B_E,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0
NPN4,0,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
VCONT1,0,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,M_D,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,M_D,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,0,0,0,0,B_C,B_C,0,0,R_C,0,0,0,0,0,0,0,0,0
VOUT2,0,C_C,0,0,0,0,0,0,0,0,0,0,B_C,B_C,0,R_C,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
