,IIN1,IOUT1,IOUT2,IOUT3,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,VSS
IIN1,0,0,0,0,0,0,0,0,M_G,M_G,M_G,M_DG,0
IOUT1,0,0,0,0,0,0,0,M_D,0,M_D,M_D,0,0
IOUT2,0,0,0,0,0,M_D,M_D,0,M_D,0,0,0,0
IOUT3,0,0,0,0,M_DG,M_G,M_G,M_G,0,0,0,0,0
NM1,0,0,0,M_DG,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_BS
NM4,0,M_D,0,M_G,0,0,0,0,0,0,0,0,M_BS
NM5,M_G,0,M_D,0,0,0,0,0,0,0,0,0,M_BS
NM6,M_G,M_D,0,0,0,0,0,0,0,0,0,0,M_BS
NM7,M_G,M_D,0,0,0,0,0,0,0,0,0,0,M_BS
NM8,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS
VSS,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,0
