,NET2,NET3,NET4,NET5,NM1,NM2,NPN1,NPN2,NPN3,R1,R2,R3,R4,R5,VDD,VIN1,VOUT1,VSS
NET2,0,0,0,0,0,M_DG,0,0,B_E,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,B_B,B_BC,0,0,0,R_C,0,0,0,0,0
NET4,0,0,0,0,M_D,0,0,B_E,0,0,0,R_C,0,0,0,0,0,0
NET5,0,0,0,0,0,0,B_B,B_C,0,0,0,0,0,R_C,0,0,0,0
NM1,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS
NM2,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NPN1,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_C,0,B_E,0
NPN2,0,B_B,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN3,B_E,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R3,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R4,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R5,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
VDD,0,0,0,0,0,0,B_C,0,0,0,0,R_C,R_C,R_C,0,0,0,0
VIN1,0,0,0,0,M_G,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,B_E,0,0,R_C,R_C,0,0,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,0,0,0,0,R_C,0,0,0,0,0,0,0
