,NET2,NET3,NPN1,NPN2,R1,R2,R3,R4,R5,R6,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
NET2,0,0,0,B_E,0,R_C,R_C,0,0,0,0,0,0,0,0,0
NET3,0,0,B_E,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0
NPN1,0,B_E,0,0,0,0,0,0,0,0,0,0,B_B,B_C,0,0
NPN2,B_E,0,0,0,0,0,0,0,0,0,0,B_B,0,0,B_C,0
R1,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
R5,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0
R6,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0,0,0
VIN1,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,B_C,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0
VOUT2,0,0,0,B_C,0,0,0,0,R_C,R_C,0,0,0,0,0,0
VSS,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0
