,IIN1,IOUT1,IOUT2,NET2,NET3,NET4,NET5,NPN1,NPN2,NPN3,NPN4,R1,R2,R3,VDD,VSS
IIN1,0,0,0,0,0,0,0,0,0,B_C,B_B,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0,0,0
NET3,0,0,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0,0
NET4,0,0,0,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0
NET5,0,0,0,0,0,0,0,B_B,B_B,B_B,B_E,0,0,0,0,0
NPN1,0,0,B_C,B_E,0,0,B_B,0,0,0,0,0,0,0,0,0
NPN2,0,B_C,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0
NPN3,B_C,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0
NPN4,B_B,0,0,0,0,0,B_E,0,0,0,0,0,0,0,B_C,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,0,0
