,IIN1,IOUT1,NET1,NET2,NET3,NM1,NM2,NM3,NM4,NM5,NM6,VDD,VSS
IIN1,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,0
IOUT1,0,0,0,0,0,M_D,0,0,0,0,0,0,0
NET1,0,0,0,0,0,M_G,0,M_D,0,M_S,0,0,0
NET2,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0
NET3,0,0,0,0,0,0,M_G,M_G,M_DG,0,M_S,0,0
NM1,0,M_D,M_G,M_S,0,0,0,0,0,0,0,0,M_B
NM2,0,0,0,M_D,M_G,0,0,0,0,0,0,0,M_BS
NM3,0,0,M_D,0,M_G,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,M_DG,0,0,0,0,0,0,0,M_BS
NM5,M_G,0,M_S,0,0,0,0,0,0,0,0,M_D,M_B
NM6,M_DG,0,0,0,M_S,0,0,0,0,0,0,0,M_B
VDD,0,0,0,0,0,0,0,0,0,M_D,0,0,0
VSS,0,0,0,0,0,M_B,M_BS,M_BS,M_BS,M_B,M_B,0,0
