,IB1,NET2,NET3,NPN1,NPN2,NPN3,NPN4,R1,R2,VDD,VIN1,VIN2,VOUT1,VSS
IB1,0,0,0,B_BC,B_B,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,B_C,0,R_C,0,0,0,0,0
NET3,0,0,0,0,B_C,B_E,B_E,0,0,0,0,0,0,0
NPN1,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,B_E
NPN3,0,0,B_E,0,0,0,0,0,0,0,0,B_B,B_C,0
NPN4,0,B_C,B_E,0,0,0,0,0,0,0,B_B,0,0,0
R1,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0
R2,0,R_C,0,0,0,0,0,0,0,R_C,0,0,0,0
VDD,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
VIN1,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,B_C,0,R_C,0,0,0,0,0,0
VSS,0,0,0,B_E,B_E,0,0,0,0,0,0,0,0,0
