,IB1,NET1,NET2,NM1,NM2,NM3,NM4,R1,R2,VDD,VIN1,VIN2,VOUT1,VSS
IB1,0,0,0,M_DG,M_G,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0
NM1,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,M_S,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM4,0,M_S,M_D,0,0,0,0,0,0,0,M_G,0,0,M_B
R1,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0
R2,0,0,R_C,0,0,0,0,0,0,R_C,0,0,0,0
VDD,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
VIN1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0
VSS,0,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0
