,IB1,NET2,NET3,NPN1,NPN2,NPN3,NPN4,PNP1,PNP2,VDD,VIN1,VIN2,VOUT1,VSS
IB1,0,0,0,0,B_BC,B_B,0,0,0,0,0,0,0,0
NET2,0,0,0,B_E,0,B_C,B_E,0,0,0,0,0,0,0
NET3,0,0,0,B_C,0,0,0,B_B,B_BC,0,0,0,0,0
NPN1,0,B_E,B_C,0,0,0,0,0,0,0,B_B,0,0,0
NPN2,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN3,B_B,B_C,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN4,0,B_E,0,0,0,0,0,0,0,0,0,B_B,B_C,0
PNP1,0,0,B_B,0,0,0,0,0,0,B_E,0,0,B_C,0
PNP2,0,0,B_BC,0,0,0,0,0,0,B_E,0,0,0,0
VDD,0,0,0,0,0,0,0,B_E,B_E,0,0,0,0,0
VIN1,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,B_C,B_C,0,0,0,0,0,0
VSS,0,0,0,0,B_E,B_E,0,0,0,0,0,0,0,0
