,IB1,IB2,NET2,NET3,NET4,NPN1,NPN2,NPN3,PNP1,PNP2,PNP3,R1,VDD,VSS
IB1,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0
NET2,0,0,0,0,0,B_C,0,B_B,0,B_C,0,0,0,0
NET3,0,0,0,0,0,0,0,B_C,B_B,B_B,B_BC,0,0,0
NET4,0,0,0,0,0,B_B,B_B,B_E,0,0,0,R_C,0,0
NPN1,0,0,B_C,0,B_B,0,0,0,0,0,0,0,0,B_E
NPN2,B_C,0,0,0,B_B,0,0,0,0,0,0,0,0,B_E
NPN3,0,0,B_B,B_C,B_E,0,0,0,0,0,0,0,0,0
PNP1,0,B_C,0,B_B,0,0,0,0,0,0,0,0,B_E,0
PNP2,0,0,B_C,B_B,0,0,0,0,0,0,0,0,B_E,0
PNP3,0,0,0,B_BC,0,0,0,0,0,0,0,0,B_E,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,B_E,B_E,B_E,0,0,0
VSS,0,0,0,0,0,B_E,B_E,0,0,0,0,R_C,0,0
