,IB1,IB2,NET1,NET2,NET3,NM1,NM2,NM3,PM1,PM2,PM3,R1,VDD,VSS
IB1,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0
NET1,0,0,0,0,0,M_D,0,M_G,0,M_D,0,0,0,0
NET2,0,0,0,0,0,0,0,M_D,M_G,M_G,M_DG,0,0,0
NET3,0,0,0,0,0,M_G,M_G,M_S,0,0,0,R_C,0,0
NM1,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,M_BS
NM2,M_D,0,0,0,M_G,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,M_G,M_D,M_S,0,0,0,0,0,0,0,0,M_B
PM1,0,M_D,0,M_G,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_BS,0
PM3,0,0,0,M_DG,0,0,0,0,0,0,0,0,M_BS,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,0,0,0
VSS,0,0,0,0,0,M_BS,M_BS,M_B,0,0,0,R_C,0,0
