,DIO1,DIO2,DIO3,DIO4,DIO5,IB1,IB2,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,NPN2,NPN3,PNP1,PNP2,PNP3,R1,R2,R3,VDD,VSS
DIO1,0,0,0,0,0,0,0,D_P,0,0,0,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO2,0,0,0,0,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
DIO3,0,0,0,0,0,0,0,0,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO4,0,0,0,0,0,0,0,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO5,0,0,0,0,0,0,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0
NET2,D_P,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
NET3,0,0,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,R_C,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,0,0,0,R_C,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_B,B_B,B_BC,0,0,0,0,0
NET9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_B,B_E,0,0,0,0,0,R_C,0,0
NPN1,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_E
NPN3,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0
PNP1,0,0,0,0,0,0,B_C,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_E,0
PNP2,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,0,0,0,0,0,0,0,0,0,B_E,0
PNP3,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,B_E,0
R1,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,B_E,R_C,0,0,0,0
VSS,0,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,0,0,0,0,0,0,R_C,0,0
