,IB1,IOUT1,IOUT2,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,PM1,PM2,PM3,PM4,VDD,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,M_G,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_DG,M_G,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,M_DG,M_G,0,0
NET3,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,0,M_D,0,0
NET4,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0,0,M_D,0,0,0,0
NM1,0,0,M_D,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,M_D,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM5,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM6,M_G,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM7,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM3,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM4,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0
VSS,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0
