,DIO1,NET2,NET3,NET4,NET5,NPN1,NPN2,R1,R2,R3,R4,VB1,VCM1,VDD,VSS
DIO1,0,D_N,0,D_P,0,0,0,0,0,0,0,0,0,0,0
NET2,D_N,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NET3,0,0,0,0,0,0,B_E,0,0,0,R_C,0,0,0,0
NET4,D_P,0,0,0,0,0,B_B,0,R_C,0,0,0,0,0,0
NET5,0,0,0,0,0,B_E,B_C,R_C,0,0,0,0,0,0,0
NPN1,0,0,0,0,B_E,0,0,0,0,0,0,B_B,0,B_C,0
NPN2,0,0,B_E,B_B,B_C,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0,0
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0,0
R3,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R4,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C
VB1,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0
VCM1,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
VDD,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0
