,DIO1,DIO2,NET2,NET3,NET4,NET5,NPN1,NPN2,PNP1,PNP2,PNP3,PNP4,R1,VB1,VDD,VIN1,VOUT1,VSS
DIO1,0,0,0,D_N,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0
DIO2,0,0,0,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,B_C,0,B_C,0,0,B_B,0,0,0,0,0,0
NET3,D_N,0,0,0,0,0,0,0,0,B_B,0,B_E,0,0,0,0,0,0
NET4,0,D_P,0,0,0,0,0,B_B,0,0,B_C,0,0,0,0,0,0,0
NET5,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN1,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_E
NPN2,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,B_C,0,B_E,0
PNP1,0,0,B_C,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0
PNP2,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_C
PNP3,0,0,0,0,B_C,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0
PNP4,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VB1,0,0,0,0,0,0,0,0,B_B,0,B_B,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,B_C,B_E,0,B_E,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,B_E,0,B_E,0,0,R_C,0,0,0,0,0
VSS,0,0,0,0,0,0,B_E,0,0,B_C,0,B_C,R_C,0,0,0,0,0
