,NET2,NET3,NET4,NPN1,NPN2,NPN3,PNP1,PNP2,PNP3,R1,R2,VB1,VDD,VIN1,VOUT1,VSS
NET2,0,0,0,B_E,B_B,0,0,0,0,R_C,0,0,0,0,0,0
NET3,0,0,0,B_BC,B_C,B_B,0,B_C,0,0,0,0,0,0,0,0
NET4,0,0,0,0,B_E,0,B_E,0,B_B,R_C,0,0,0,0,0,0
NPN1,B_E,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,B_B,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN3,0,B_B,0,0,0,0,0,0,0,0,0,0,B_C,0,B_E,0
PNP1,0,0,B_E,0,0,0,0,0,0,0,0,0,0,B_B,0,B_C
PNP2,0,B_C,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0
PNP3,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,B_E,B_C
R1,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VB1,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,B_C,0,B_E,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,B_E,0,0,B_E,0,R_C,0,0,0,0,0
VSS,0,0,0,0,0,0,B_C,0,B_C,0,R_C,0,0,0,0,0
