,DIO1,DIO2,DIO3,NET2,NET3,NET4,NPN1,NPN2,PNP1,R1,R2,VDD,VIN1,VOUT1,VSS
DIO1,0,0,0,0,D_N,0,0,0,0,0,0,D_P,0,0,0
DIO2,0,0,0,D_N,0,0,0,0,0,0,0,0,0,D_P,0
DIO3,0,0,0,D_N,0,D_P,0,0,0,0,0,0,0,0,0
NET2,0,D_N,D_N,0,0,0,B_C,0,0,0,0,0,0,0,0
NET3,D_N,0,0,0,0,0,0,0,B_B,R_C,0,0,0,0,0
NET4,0,0,D_P,0,0,0,0,B_B,B_C,0,0,0,0,0,0
NPN1,0,0,0,B_C,0,0,0,0,0,0,0,0,B_B,0,B_E
NPN2,0,0,0,0,0,B_B,0,0,0,0,0,B_C,0,B_E,0
PNP1,0,0,0,0,B_B,B_C,0,0,0,0,0,B_E,0,0,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VDD,D_P,0,0,0,0,0,0,B_C,B_E,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0
VOUT1,0,D_P,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0
VSS,0,0,0,0,0,0,B_E,0,0,R_C,R_C,0,0,0,0
