,DIO1,DIO2,NET2,NET3,NET4,NET5,NET6,NPN1,NPN2,PNP1,PNP2,PNP3,R1,R2,R3,VB1,VDD,VIN1,VOUT1,VSS
DIO1,0,0,0,D_N,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO2,0,0,0,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,B_E,0,R_C,0,0,0,0,0,0
NET3,D_N,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,D_N,0,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0
NET5,D_P,0,0,0,0,0,0,B_C,B_B,B_C,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,B_B,B_E,0,0,0,R_C,0,0,0,0,0,0,0
NPN1,0,0,0,0,0,B_C,B_B,0,0,0,0,0,0,0,0,0,0,0,B_E,0
NPN2,0,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,B_C,0,0,0
PNP1,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0
PNP2,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_C
PNP3,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
R1,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VB1,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,B_C,B_E,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,B_E,0,0,0,0,R_C,R_C,R_C,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,B_C,B_C,0,0,R_C,0,0,0,0,0
