,NET1,NET2,NET3,NM1,NM2,NM3,PM1,PM2,PM3,R1,VB1,VDD,VIN1,VOUT1,VSS
NET1,0,0,0,M_D,0,0,0,M_G,M_DG,0,0,0,0,0,0
NET2,0,0,0,0,0,M_S,0,0,M_S,0,0,0,0,0,0
NET3,0,0,0,0,M_G,M_DG,M_D,0,0,0,0,0,0,0,0
NM1,M_D,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS
NM2,0,0,M_G,0,0,0,0,0,0,0,0,M_D,0,M_S,M_B
NM3,0,M_S,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_B
PM1,0,0,M_D,0,0,0,0,0,0,0,M_G,M_BS,0,0,0
PM2,M_G,0,0,0,0,0,0,0,0,0,0,M_B,0,M_S,M_D
PM3,M_DG,M_S,0,0,0,0,0,0,0,0,0,M_B,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VB1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VDD,0,0,0,0,M_D,0,M_BS,M_B,M_B,0,0,0,0,0,0
VIN1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,M_S,0,0,M_S,0,R_C,0,0,0,0,0
VSS,0,0,0,M_BS,M_B,M_B,0,M_D,0,R_C,0,0,0,0,0
