,DIO1,DIO2,DIO3,NET2,NET3,NET4,NET5,NET6,NPN1,NPN2,NPN3,NPN4,PNP1,R1,VB1,VDD,VIN1,VOUT1,VSS
DIO1,0,0,0,0,0,D_P,0,D_N,0,0,0,0,0,0,0,0,0,0,0
DIO2,0,0,0,0,0,D_N,D_P,0,0,0,0,0,0,0,0,0,0,0,0
DIO3,0,0,0,0,0,0,0,D_N,0,0,0,0,0,0,0,0,0,D_P,0
NET2,0,0,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,B_E,0,0,B_B,0,0,0,0,0,0,0
NET4,D_P,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,D_P,0,0,0,0,0,0,B_B,0,0,0,B_C,0,0,0,0,0,0
NET6,D_N,0,D_N,0,0,0,0,0,0,B_C,B_C,0,0,0,0,0,0,0,0
NPN1,0,0,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,B_C,0,0,0
NPN2,0,0,0,B_E,0,0,0,B_C,0,0,0,0,0,0,0,0,B_B,0,0
NPN3,0,0,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,B_E
NPN4,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_C,0,B_E,0
PNP1,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0,B_B,B_E,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VB1,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,B_C,0,0,B_C,B_E,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0
VOUT1,0,0,D_P,0,0,0,0,0,0,0,0,B_E,0,R_C,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0,0
