,IB1,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN2,NPN3,PM1,PM2,PM3,PNP1,PNP2,R1,R2,R3,R4,R5,VDD,VIN1,VOUT1,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,B_C,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,B_C,B_B,0,M_BS,0,B_C,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,B_B,0,0,M_D,0,0,0,0,0,0,0,0,R_C,0,0,0,0
NET4,0,0,0,0,0,0,0,0,B_B,0,0,M_DG,0,0,0,R_C,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,B_B,B_B,0,0,0,0,0,0,0,0,0
NPN1,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_E
NPN2,0,B_C,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0
NPN3,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_E,0
PM1,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_BS,0
PM2,0,M_BS,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM3,M_G,0,0,0,0,0,M_BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D
PNP1,0,B_C,0,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNP2,B_C,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R3,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R5,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,B_E,0,M_G,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,B_C,0,B_E,M_BS,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VSS,0,0,0,0,0,0,0,B_E,0,0,0,0,M_D,0,0,0,0,0,R_C,R_C,0,0,0,0
