,NET2,NET3,NET4,NPN1,NPN2,PNP1,PNP2,PNP3,VB1,VDD,VIN1,VIN2,VSS
NET2,0,0,0,B_C,0,B_C,0,0,0,0,0,0,0
NET3,0,0,0,B_B,B_BC,0,B_C,0,0,0,0,0,0
NET4,0,0,0,0,0,B_E,B_E,B_C,0,0,0,0,0
NPN1,B_C,B_B,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,0,B_BC,0,0,0,0,0,0,0,0,0,0,B_E
PNP1,B_C,0,B_E,0,0,0,0,0,0,0,B_B,0,0
PNP2,0,B_C,B_E,0,0,0,0,0,0,0,0,B_B,0
PNP3,0,0,B_C,0,0,0,0,0,B_B,B_E,0,0,0
VB1,0,0,0,0,0,0,0,B_B,0,0,0,0,0
VDD,0,0,0,0,0,0,0,B_E,0,0,0,0,0
VIN1,0,0,0,0,0,B_B,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,B_B,0,0,0,0,0,0
VSS,0,0,0,B_E,B_E,0,0,0,0,0,0,0,0
