,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN2,PNP1,PNP2,PNP3,PNP4,PNP5,R1,R2,R3,R4,R5,VB1,VB2,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
NET2,0,0,0,0,0,0,0,B_E,0,B_C,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,B_E,0,B_C,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,B_E,B_E,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN1,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,B_C,0
NPN2,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,B_C,0,0
PNP1,0,B_C,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0
PNP2,B_C,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0
PNP3,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,B_C,0
PNP4,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,B_C,0,0
PNP5,0,0,0,0,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0
R1,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
R4,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
R5,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,B_B,B_B,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,B_B,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,B_C,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,B_C,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0
