,C1,C2,NET10,NET11,NET12,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,NPN7,PNP1,PNP2,PNP3,PNP4,PNP5,PNP6,PNP7,R1,R2,R3,R4,R5,R6,VB1,VB2,VDD,VSS
C1,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
NET10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0,0
NET12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_B,0,B_E,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0
NET3,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,0,B_E,0,B_B,B_B,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
