,NET2,NET3,NET4,NPN1,NPN2,NPN3,PNP1,R1,R2,R3,VB1,VB2,VDD,VSS
NET2,0,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0
NET3,0,0,0,B_C,0,0,0,0,R_C,0,0,0,0,0
NET4,0,0,0,0,0,B_E,0,R_C,0,0,0,0,0,0
NPN1,0,B_C,0,0,0,0,0,0,0,0,B_B,B_E,0,0
NPN2,0,0,0,0,0,0,0,0,0,0,0,B_BC,0,B_E
NPN3,0,0,B_E,0,0,0,0,0,0,0,B_C,B_B,0,0
PNP1,B_E,0,0,0,0,0,0,0,0,0,B_BC,0,0,0
R1,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0
R3,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0
VB1,0,0,0,B_B,0,B_C,B_BC,0,0,0,0,0,0,0
VB2,0,0,0,B_E,B_BC,B_B,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0
VSS,0,0,0,0,B_E,0,0,R_C,0,0,0,0,0,0
