,IB1,NET1,NET2,NET3,NM1,NM2,NM3,PM1,PM2,PM3,PM4,PM5,PM6,VB1,VB2,VB3,VDD,VSS
IB1,0,0,0,0,0,0,0,M_G,M_G,M_DG,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,M_S,0,0,M_D,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,M_S,0,0,M_D,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,0,M_BS
NM2,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM3,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,0,0,M_B
PM1,M_G,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_B,0
PM2,M_G,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_D,0,M_B,0
PM3,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,M_B,0
PM4,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0
PM5,0,0,0,M_D,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0
PM6,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,0,0,M_BS,0
VB1,0,0,0,0,0,0,0,0,0,M_S,M_G,M_G,M_DG,0,0,0,0,0
VB2,0,0,0,0,0,M_G,M_DG,0,M_D,0,0,0,0,0,0,0,0,0
VB3,0,0,0,0,M_DG,0,0,M_D,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,M_B,M_B,M_B,M_BS,M_BS,M_BS,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_B,0,0,0,0,0,0,0,0,0,0,0
