,NET2,NET3,NET4,NET5,NET6,NPN1,NPN2,PNP1,PNP2,PNP3,PNP4,PNP5,PNP6,PNP7,VB1,VDD,VIN1,VIN2,VSS
NET2,0,0,0,0,0,0,0,0,0,B_E,B_E,0,B_C,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,B_E,0,B_B,0,B_C,0,0,0,0,0,0,0
NET4,0,0,0,0,0,B_C,0,0,0,B_C,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,B_E,0,B_B,0,0,B_C,0,0,0,0,0
NET6,0,0,0,0,0,B_B,B_BC,0,0,0,B_C,0,0,0,0,0,0,0,0
NPN1,0,0,B_C,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
PNP1,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,B_C
PNP2,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_C
PNP3,B_E,B_B,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNP4,B_E,0,0,B_B,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNP5,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0
PNP6,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0
PNP7,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,B_B,B_B,B_B,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,B_E,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,B_E,B_E,B_C,B_C,0,0,0,0,0,0,0,0,0,0
