,IB1,IB2,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NM1,NM2,NM3,NM4,NM5,NM6,NM7,PM1,PM2,PM3,PM4,PM5,PM6,PM7,R1,R2,R3,R4,VB1,VB2,VB3,VB4,VDD,VIN1,VIN2,VIN3,VIN4,VOUT1,VOUT2,VOUT3,VOUT4,VSS
IB1,0,0,0,0,0,0,0,0,0,0,M_D,M_S,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_DG,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,M_B
NM3,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,M_B
NM4,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,0,M_B
