,C1,IB1,IB2,IB3,NET1,NM1,NM2,NM3,PM1,PM2,PM3,R1,VB1,VDD,VIN1,VIN2,VOUT1,VSS
C1,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
IB1,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0
IB2,C_C,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,M_G,M_D,0,M_D,M_D,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,M_G,M_DG,0,0,M_D,0,0,0,0,0,0,0
NM1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM2,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,M_S,M_D,0,0,0,0,0,0,0,0,M_G,M_B,0,0,0,0
PM2,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,M_B,M_G,0,0,0
PM3,0,M_S,0,0,M_D,0,0,0,0,0,0,0,0,M_B,0,M_G,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0
VB1,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_B,M_B,M_B,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0
VSS,0,0,0,0,0,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0
