,C1,DIO1,IB1,NET2,NET3,NET4,NPN1,NPN2,NPN3,PNP1,PNP2,R1,R2,VDD,VIN1,VIN2,VOUT1,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C,0
DIO1,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
IB1,0,0,0,0,0,0,0,0,0,B_E,B_E,0,0,0,0,0,0,0
NET2,0,D_P,0,0,0,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0
NET3,C_C,0,0,0,0,0,B_C,0,B_B,B_C,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,B_B,B_E,0,0,0,R_C,0,0,0,0,0
NPN1,0,0,0,B_B,B_C,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_C,B_E
NPN3,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,B_C,0,0,0,0
PNP1,0,0,B_E,0,B_C,0,0,0,0,0,0,0,0,0,0,B_B,0,0
PNP2,0,0,B_E,B_C,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0
R2,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,B_C,0,0,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,0,B_C,0,0,0,R_C,0,0,0,0,0,0
VSS,0,D_N,0,0,0,0,B_E,B_E,0,0,0,0,R_C,0,0,0,0,0
