,IOUT1,IOUT2,NET2,NET3,NET4,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,R1,VIN1,VIN2,VIN3,VIN4,VSS
IOUT1,0,0,0,0,0,0,0,0,B_C,0,B_C,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,B_C,0,B_C,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,B_C,0,0,B_E,B_E,0,0,0,0,0,0
NET3,0,0,0,0,0,B_E,B_E,0,0,0,0,R_C,0,0,0,0,0
NET4,0,0,0,0,0,B_C,0,B_E,B_E,0,0,0,0,0,0,0,0
NPN1,0,0,0,B_E,B_C,0,0,0,0,0,0,0,0,B_B,0,0,0
NPN2,0,0,B_C,B_E,0,0,0,0,0,0,0,0,B_B,0,0,0,0
NPN3,0,B_C,0,0,B_E,0,0,0,0,0,0,0,0,0,B_B,0,0
NPN4,B_C,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,B_B,0
NPN5,0,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0
NPN6,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VIN1,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0
VIN3,0,0,0,0,0,0,0,B_B,0,0,B_B,0,0,0,0,0,0
VIN4,0,0,0,0,0,0,0,0,B_B,B_B,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
