,NET2,NET3,NET4,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,R1,R2,R3,VDD,VIN1,VIN2,VIN3,VIN4,VOUT1,VOUT2,VSS
NET2,0,0,0,0,B_C,0,0,B_E,B_E,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,B_E,B_E,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,B_C,0,B_E,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN1,0,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0
NPN2,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0
NPN3,0,0,B_E,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,B_C,0
NPN4,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,B_C,0,0
NPN5,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,B_C,0
NPN6,B_E,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,B_C,0,0
R1,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,R_C,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,R_C,0,0
VDD,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,B_B,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,B_B,B_B,0,0,0,0,0,0,0,0,0,0,0,0
VIN3,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN4,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,B_C,0,B_C,0,0,R_C,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,B_C,0,B_C,0,0,R_C,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
