,C1,DIO1,DIO2,IB1,IB2,NET2,NET3,NET4,NET5,NET6,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,R1,R2,R3,R4,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_P,0,D_N,0
DIO2,0,0,0,0,0,0,0,0,0,D_N,0,0,0,0,0,0,0,0,0,0,D_P,0,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,B_E,0,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,0,0,0,0,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0,0,0,0
NET5,C_C,0,0,0,0,0,0,0,0,0,0,B_C,0,B_E,0,0,0,0,0,0,0,0,0,0
NET6,0,0,D_N,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,0,0,R_C,0,0,0,0
NPN1,0,0,0,0,0,B_C,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0
NPN2,0,0,0,0,0,0,0,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0
NPN3,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0
NPN4,0,0,0,B_B,0,0,0,0,B_E,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN5,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0
NPN6,0,0,0,0,B_E,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_C,0,0,0
R1,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0
R4,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
VDD,0,D_P,D_P,0,0,0,0,0,0,0,0,0,0,0,B_C,B_C,0,0,R_C,R_C,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,B_B,B_B,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,D_N,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,0,0,R_C,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
