,IB1,IB2,IOUT1,NET1,NET2,NET3,NET4,NET5,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PM4,PM5,PM6,VDD,VIN1,VIN2,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,M_D,M_D,0,0,0,0,0,0,M_D,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,M_D,M_D,0,0,0,0,M_G,M_DG,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,M_S,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_S,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,M_S,0,0,M_S,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,M_S,0,0,0,0,0,0
NM1,0,0,M_D,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM2,0,0,M_D,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B
NM3,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B
NM4,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
PM1,0,M_DG,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0
PM2,0,M_G,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,M_D
PM3,M_G,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,M_D
PM4,M_DG,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0
PM5,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
PM6,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,M_BS,M_BS,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,0,M_D,M_D,0,0,0,0,0,0,0
