,IB1,NET1,NET2,NM1,NM2,NM3,PM1,PM2,PM3,PM4,PM5,R1,R2,VB1,VB2,VCM1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
IB1,0,0,0,0,0,0,M_S,M_S,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,M_G,0,M_G,0,R_C,R_C,0,0,0,0,0,0,0,0,0
NM1,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_BS
NM2,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM3,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
PM1,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B,0,0,0,0,M_D
PM2,M_S,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,M_D,0,0
PM3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0,0,M_D,0,0
PM4,M_S,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,M_D,0
PM5,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0,0,0,M_D,0
R1,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
VB1,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCM1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,M_B,M_B,M_BS,M_B,M_BS,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,M_D,0,M_D,M_D,0,0,0,R_C,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,M_D,0,0,0,0,M_D,M_D,R_C,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,M_BS,M_B,M_B,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
