,C1,C2,IB1,IB2,NET1,NET2,NM1,NM2,PM1,PM2,PM3,PM4,R1,R2,R3,R4,VDD,VIN1,VIN2,VIN3,VIN4,VOUT1,VOUT2,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
IB1,0,0,0,0,0,0,0,0,M_S,M_S,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,M_G,M_G,M_D,M_D,M_D,M_D,0,0,R_C,R_C,0,0,0,0,0,0,0,0
NET1,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NM1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_BS
NM2,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
PM1,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,0,0,0,0,0,0
PM2,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,M_G,0,0,0,0,0
PM3,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,M_G,0,0,0,0
PM4,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0,M_G,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,R_C,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,R_C,0
R3,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,R_C,R_C,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN3,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN4,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,C_C,0,0,0,0,0,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
