,IOUT1,IOUT2,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,PM1,PM2,PM3,R1,R2,VDD,VSS
IOUT1,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0
IOUT2,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_DG,M_G,0,0,0,0
NET2,0,0,0,0,0,0,0,0,M_D,M_S,M_G,0,0,M_D,0,0,0,0
NET3,0,0,0,0,0,0,0,M_G,M_G,0,M_S,0,0,0,0,R_C,0,0
NET4,0,0,0,0,0,0,M_DG,0,0,M_G,0,0,0,0,R_C,0,0,0
NM1,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,M_S,0,M_G,0,0,0,0,0,0,0,0,0,0,M_D,M_B
NM5,0,0,M_D,M_G,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_B
PM1,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM3,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
R1,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,M_D,0,M_BS,M_BS,M_BS,R_C,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_B,M_B,0,0,0,0,R_C,0,0
