,IOUT1,NET2,NET3,NET4,NET5,NET6,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PNP1,R1,R2,VDD,VSS
IOUT1,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,M_G,0,M_DG,0,0,0,0,R_C,0,0,0
NET3,0,0,0,0,0,0,0,0,M_D,0,M_G,M_DG,M_G,0,0,0,0,0
NET4,0,0,0,0,0,0,M_DG,M_S,M_G,0,0,0,M_D,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,R_C,0,0
NET6,0,0,0,0,0,0,M_S,0,0,0,0,0,0,B_E,0,0,0,0
NM1,0,0,0,M_DG,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_B
NM2,0,M_G,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_B
NM3,0,0,M_D,M_G,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM4,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM3,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PNP1,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,B_BC
R1,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,M_D,0,0,M_BS,M_BS,M_BS,0,R_C,0,0,0
VSS,0,0,0,0,0,0,M_B,M_B,M_B,M_BS,0,0,0,B_BC,0,R_C,0,0
