,DIO1,IIN1,IOUT1,NET1,NET2,NET3,NET4,NM1,NM2,NM3,PM1,PM2,PM3,R1,VDD,VSS
DIO1,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,D_N
IIN1,0,0,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0
NET1,0,0,0,0,0,0,0,M_G,M_DG,0,0,0,M_D,0,0,0
NET2,0,0,0,0,0,0,0,0,M_S,0,0,0,0,R_C,0,0
NET3,D_P,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,M_D,M_G,M_DG,M_G,0,0,0
NM1,0,M_D,0,M_G,0,M_S,0,0,0,0,0,0,0,0,0,M_B
NM2,0,0,0,M_DG,M_S,0,0,0,0,0,0,0,0,0,0,M_B
NM3,0,M_G,0,0,0,0,M_D,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,M_D,0,0,0,M_G,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,M_BS,0
PM3,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,0,M_BS,0
R1,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,0,0,0
VSS,D_N,0,0,0,0,0,0,M_B,M_B,M_BS,0,0,0,R_C,0,0
