,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN2,PM1,PM2,PM3,PM4,R1,R2,VDD,VREF1,VSS
NET2,0,0,0,0,0,0,B_BC,B_B,0,0,0,0,R_C,0,0,0,0
NET3,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0
NET4,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,M_S,0,M_D,0,0,0,0,0
NET6,0,0,0,0,0,0,0,B_C,M_D,0,M_G,M_G,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,M_S,0,M_D,0,0,0,0,0,0
NPN1,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,B_B,B_E,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0
PM1,0,0,M_G,0,M_D,M_S,0,0,0,0,0,0,0,0,M_B,0,0
PM2,0,0,M_G,M_S,0,0,0,0,0,0,0,0,0,0,M_B,M_D,0
PM3,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,M_BS,0,0
PM4,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,M_BS,0,0
R1,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,0,0,0,0,0
VREF1,0,0,0,0,0,0,0,0,0,M_D,0,0,R_C,0,0,0,0
VSS,0,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0
