,DIO1,DIO2,NET10,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NM1,NPN1,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,R1,R2,R3,VDD,VREF1,VSS
DIO1,0,0,0,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
DIO2,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
NET10,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_G,0,M_G,M_DG,0,M_S,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,M_G,B_C,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,M_D,0,0,0,0,0,0,0,R_C,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,M_G,0,0,0,0,0,0,0,0,0,0
NET5,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,R_C,0,0,0
NET8,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0
NET9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_GS,M_G,0,0,0,0,0,0
NM1,0,0,0,M_G,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NPN1,0,0,0,B_C,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
PM1,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0
PM2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0
PM3,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM4,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM5,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM6,0,0,M_G,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM7,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM8,0,0,0,0,0,0,0,0,0,M_D,M_GS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0
PM9,0,0,M_S,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0
VREF1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_D,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VSS,D_N,D_N,0,0,0,0,0,0,0,0,0,M_BS,B_E,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0
