,IB1,NET2,NET3,NET4,NET5,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,R1,R2,VDD,VREF1,VSS
IB1,0,0,0,0,0,0,0,0,0,B_C,B_B,0,0,0,0,0
NET2,0,0,0,0,0,0,B_BC,0,B_E,0,0,0,0,0,0,0
NET3,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0
NET4,0,0,0,0,0,B_BC,0,B_E,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,B_BC,0,B_E,0,0,0,0,0,0
NPN1,0,0,B_E,B_BC,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0
NPN3,0,0,0,B_E,B_BC,0,0,0,0,0,0,0,0,0,0,0
NPN4,0,B_E,0,0,0,0,0,0,0,0,0,0,0,B_BC,0,0
NPN5,B_C,0,0,0,B_E,0,0,0,0,0,0,0,0,B_B,0,0
NPN6,B_B,0,0,0,0,0,0,0,0,0,0,0,0,B_CE,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R2,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VDD,0,0,0,0,0,0,0,0,B_BC,B_B,B_CE,0,0,0,0,0
VREF1,0,0,0,0,0,0,B_E,0,0,0,0,R_C,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0
