,IIN1,IIN2,IOUT1,NET1,NM1,NM2,NM3,NM4,PM1,PM2,VB1,VB2,VDD,VSS
IIN1,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0
IIN2,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0
IOUT1,0,0,0,0,0,0,M_D,0,M_D,0,0,0,0,0
NET1,0,0,0,0,0,0,0,M_D,M_G,M_DG,0,0,0,0
NM1,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM2,M_D,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM3,0,M_S,M_D,0,0,0,0,0,0,0,0,M_G,0,M_B
NM4,M_S,0,0,M_D,0,0,0,0,0,0,0,M_G,0,M_B
PM1,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_BS,0
PM2,0,0,0,M_DG,0,0,0,0,0,0,0,0,M_BS,0
VB1,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0
