,NET1,NET2,NM1,PM1,PM2,PM3,PM4,VB1,VB2,VB3,VDD,VIN1,VSS
NET1,0,0,M_D,M_D,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0,0
NM1,M_D,0,0,0,0,0,0,0,0,0,0,M_G,M_BS
PM1,M_D,0,0,0,0,0,0,0,0,0,M_BS,M_G,0
PM2,0,M_S,0,0,0,0,0,0,M_G,0,M_B,0,M_D
PM3,0,M_S,0,0,0,0,0,M_G,0,0,M_B,M_D,0
PM4,0,M_D,0,0,0,0,0,0,0,M_G,M_BS,0,0
VB1,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VB2,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VB3,0,0,0,0,0,0,M_G,0,0,0,0,0,0
VDD,0,0,0,M_BS,M_B,M_B,M_BS,0,0,0,0,0,0
VIN1,0,0,M_G,M_G,0,M_D,0,0,0,0,0,0,0
VSS,0,0,M_BS,0,M_D,0,0,0,0,0,0,0,0
