,IB1,IB2,IIN1,IOUT1,NET1,NET2,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PM4,VDD,VSS
IB1,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0
IIN1,0,0,0,0,0,0,0,0,0,M_S,0,M_S,0,0,0,0
IOUT1,0,0,0,0,0,0,M_D,0,0,0,0,0,M_D,0,0,0
NET1,0,0,0,0,0,0,0,0,0,M_D,0,0,M_G,M_DG,0,0
NET2,0,0,0,0,0,0,M_G,M_DG,0,0,0,M_D,0,0,0,0
NM1,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,M_BS
NM3,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,M_G,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,M_B
PM1,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_S
PM2,0,M_G,M_S,0,0,M_D,0,0,0,0,0,0,0,0,M_B,0
PM3,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,M_BS,0
PM4,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,M_BS,0
VDD,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_B,M_S,0,0,0,0,0
