,NET1,NET2,NET3,NM1,NM2,NM3,NM4,PM1,PM2,PM3,VB1,VDD,VIN1,VIN2,VOUT1,VSS
NET1,0,0,0,0,0,0,M_D,0,M_DG,M_G,0,0,0,0,0,0
NET2,0,0,0,0,0,M_D,0,M_G,0,M_D,0,0,0,0,0,0
NET3,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,M_BS
NM2,0,0,M_D,0,0,0,0,0,0,0,M_G,0,0,0,0,M_BS
NM3,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B
NM4,M_D,0,M_S,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B
PM1,0,M_G,0,0,0,0,0,0,0,0,0,M_BS,0,0,M_D,0
PM2,M_DG,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
PM3,M_G,M_D,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0
VB1,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,M_D,0,0,0,M_D,0,0,0,0,0,0,0,0
VSS,0,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0
