Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,LR,Best_Val_Acc,EpochTime,TotalTime
1,1.551984,56.61,0.793593,80.10,1.000000e-04,80.10,0:09:15,0:09:15
2,0.543111,83.52,0.579476,83.99,9.997533e-05,83.99,0:08:46,0:18:01
3,0.293369,87.74,0.547722,85.96,9.990134e-05,85.96,0:08:43,0:26:45
4,0.198094,89.76,0.552792,86.85,9.977810e-05,86.85,0:08:50,0:35:36
5,0.144692,91.48,0.576950,87.66,9.960574e-05,87.66,0:08:55,0:44:31
6,0.113664,92.75,0.575203,89.06,9.938442e-05,89.06,0:09:10,0:53:42
7,0.096478,93.70,0.585300,89.39,9.911436e-05,89.39,0:08:52,1:02:34
8,0.085286,94.34,0.569705,89.76,9.879584e-05,89.76,0:08:51,1:11:26
9,0.074795,94.97,0.599278,89.78,9.842916e-05,89.78,0:08:48,1:20:14
10,0.067186,95.48,0.631369,89.56,9.801468e-05,89.78,0:08:45,1:28:59
11,0.062447,95.85,0.580498,90.62,9.755283e-05,90.62,0:08:42,1:37:42
12,0.057651,96.14,0.593991,90.49,9.704404e-05,90.62,0:08:42,1:46:25
13,0.054490,96.41,0.595129,90.06,9.648882e-05,90.62,0:08:42,1:55:07
14,0.051359,96.61,0.603373,90.85,9.588773e-05,90.85,0:08:42,2:03:50
15,0.048771,96.83,0.623436,91.00,9.524135e-05,91.00,0:08:42,2:12:33
16,0.048094,96.94,0.632601,90.78,9.455033e-05,91.00,0:08:47,2:21:21
17,0.045682,97.08,0.598628,91.20,9.381533e-05,91.20,0:08:41,2:30:03
18,0.042619,97.24,0.600949,91.58,9.303710e-05,91.58,0:08:41,2:38:44
19,0.043202,97.29,0.606260,91.04,9.221640e-05,91.58,0:08:44,2:47:29
20,0.041472,97.38,0.603368,90.87,9.135403e-05,91.58,0:08:43,2:56:13
21,0.040479,97.48,0.636012,91.23,9.045085e-05,91.58,0:08:42,3:04:55
22,0.041267,97.46,0.626484,91.41,8.950775e-05,91.58,0:08:43,3:13:39
23,0.038097,97.65,0.638117,91.14,8.852566e-05,91.58,0:08:44,3:22:24
24,0.038425,97.66,0.627355,90.49,8.750555e-05,91.58,0:08:45,3:31:09
25,0.039559,97.65,0.617354,91.89,8.644843e-05,91.89,0:08:45,3:39:55
26,0.037943,97.78,0.652241,91.07,8.535534e-05,91.89,0:08:45,3:48:40
27,0.037077,97.78,0.592866,91.67,8.422736e-05,91.89,0:08:44,3:57:24
28,0.036626,97.85,0.627918,90.19,8.306559e-05,91.89,0:08:44,4:06:09
29,0.037107,97.84,0.650766,91.00,8.187120e-05,91.89,0:08:44,4:14:53
30,0.036711,97.89,0.648396,91.03,8.064535e-05,91.89,0:08:44,4:23:37
31,0.035550,97.95,0.622589,91.50,7.938926e-05,91.89,0:08:44,4:32:22
32,0.038205,97.91,0.588217,91.76,7.810417e-05,91.89,0:08:45,4:41:08
33,0.035974,97.99,0.637270,91.13,7.679134e-05,91.89,0:08:44,4:49:52
34,0.034182,98.05,0.608374,91.52,7.545207e-05,91.89,0:08:44,4:58:37
35,0.035990,97.99,0.661558,91.05,7.408768e-05,91.89,0:08:44,5:07:21
36,0.035143,98.02,0.588983,91.45,7.269952e-05,91.89,0:08:44,5:16:06
37,0.033184,98.08,0.592407,91.75,7.128896e-05,91.89,0:08:44,5:24:51
38,0.034276,98.08,0.612795,91.20,6.985739e-05,91.89,0:08:46,5:33:38
39,0.033899,98.14,0.612396,91.14,6.840623e-05,91.89,0:08:44,5:42:23
40,0.034277,98.17,0.615732,91.11,6.693690e-05,91.89,0:08:45,5:51:08
41,0.033420,98.14,0.572482,91.43,6.545085e-05,91.89,0:08:44,5:59:52
42,0.033901,98.18,0.619749,91.41,6.394956e-05,91.89,0:08:44,6:08:37
43,0.032946,98.17,0.617625,92.29,6.243449e-05,92.29,0:08:49,6:17:26
44,0.034111,98.17,0.589873,91.46,6.090716e-05,92.29,0:08:52,6:26:19
45,0.032457,98.19,0.624148,91.23,5.936907e-05,92.29,0:08:50,6:35:09
46,0.033410,98.22,0.581627,91.51,5.782172e-05,92.29,0:08:48,6:43:57
47,0.033071,98.26,0.575804,91.60,5.626666e-05,92.29,0:08:49,6:52:47
48,0.032279,98.23,0.581550,91.82,5.470542e-05,92.29,0:08:50,7:01:38
49,0.032515,98.30,0.647745,91.17,5.313953e-05,92.29,0:08:50,7:10:28
50,0.031364,98.30,0.610148,91.51,5.157054e-05,92.29,0:08:47,7:19:16
51,0.031978,98.32,0.590555,91.84,5.000000e-05,92.29,0:08:46,7:28:02
52,0.032376,98.33,0.612039,91.11,4.842946e-05,92.29,0:08:44,7:36:46
53,0.031692,98.33,0.590798,91.38,4.686047e-05,92.29,0:08:42,7:45:29
54,0.030523,98.38,0.624496,90.98,4.529458e-05,92.29,0:08:42,7:54:11
55,0.031207,98.34,0.629431,91.42,4.373334e-05,92.29,0:08:42,8:02:53
56,0.030280,98.39,0.599262,91.75,4.217828e-05,92.29,0:08:42,8:11:35
57,0.031298,98.33,0.625779,91.96,4.063093e-05,92.29,0:08:42,8:20:17
58,0.032196,98.39,0.635556,91.55,3.909284e-05,92.29,0:08:48,8:29:06
59,0.030825,98.37,0.610874,91.54,3.756551e-05,92.29,0:08:52,8:37:58
60,0.030786,98.45,0.624355,91.31,3.605044e-05,92.29,0:08:50,8:46:49
61,0.030691,98.43,0.615265,91.12,3.454915e-05,92.29,0:08:49,8:55:38
62,0.031041,98.43,0.598691,91.27,3.306310e-05,92.29,0:08:45,9:04:23
63,0.030690,98.45,0.603158,91.56,3.159377e-05,92.29,0:08:45,9:13:09
64,0.030435,98.42,0.630809,91.05,3.014261e-05,92.29,0:08:44,9:21:54
65,0.029897,98.44,0.612606,91.62,2.871104e-05,92.29,0:08:45,9:30:39
66,0.029848,98.46,0.588966,91.10,2.730048e-05,92.29,0:08:45,9:39:25
67,0.030145,98.48,0.615145,91.86,2.591232e-05,92.29,0:08:45,9:48:10
68,0.030393,98.50,0.593315,92.04,2.454793e-05,92.29,0:08:45,9:56:55
69,0.029163,98.52,0.620796,91.25,2.320866e-05,92.29,0:08:45,10:05:40
70,0.030009,98.53,0.585911,91.58,2.189583e-05,92.29,0:08:44,10:14:25
71,0.029725,98.52,0.621594,91.24,2.061074e-05,92.29,0:08:45,10:23:10
72,0.029383,98.55,0.612381,91.68,1.935465e-05,92.29,0:08:45,10:31:56
73,0.030220,98.51,0.602358,91.65,1.812880e-05,92.29,0:08:44,10:40:40
74,0.029879,98.53,0.609472,91.72,1.693441e-05,92.29,0:08:44,10:49:25
75,0.029796,98.56,0.598644,91.44,1.577264e-05,92.29,0:08:44,10:58:10
76,0.028568,98.55,0.611233,91.29,1.464466e-05,92.29,0:08:44,11:06:54
77,0.027841,98.57,0.627283,91.19,1.355157e-05,92.29,0:08:44,11:15:38
78,0.028842,98.57,0.597461,91.30,1.249445e-05,92.29,0:08:44,11:24:23
79,0.028892,98.53,0.611061,90.99,1.147434e-05,92.29,0:08:45,11:33:08
80,0.029629,98.63,0.594165,91.35,1.049225e-05,92.29,0:08:45,11:41:54
81,0.028650,98.57,0.603070,91.15,9.549150e-06,92.29,0:08:45,11:50:39
82,0.027794,98.61,0.623507,91.56,8.645971e-06,92.29,0:08:46,11:59:25
83,0.027725,98.64,0.604399,91.39,7.783604e-06,92.29,0:08:46,12:08:11
84,0.028640,98.62,0.594183,91.36,6.962899e-06,92.29,0:08:43,12:16:55
85,0.028724,98.61,0.603550,91.49,6.184666e-06,92.29,0:08:43,12:25:38
86,0.028144,98.59,0.602138,91.31,5.449674e-06,92.29,0:08:42,12:34:20
87,0.028195,98.61,0.607163,91.36,4.758647e-06,92.29,0:08:41,12:43:02
88,0.028606,98.60,0.608142,91.54,4.112269e-06,92.29,0:08:42,12:51:44
89,0.027565,98.62,0.602328,91.13,3.511176e-06,92.29,0:08:42,13:00:27
90,0.028102,98.64,0.605809,91.28,2.955962e-06,92.29,0:08:42,13:09:10
