sequence_key,sequence,P_DISS,UGB,AV0,PM,SETTLING_TIME,OFFSET,PSRR,CMRR
f07d18ce8f1dbf2be840ef95acd529ce0c35b405,CIRCUIT_Opamp->VSS->R_C->R11->R_C->NET1->M_S->NM28->M_DG->NET3->R_C->R27->R_C->VIN1->R_C->R21->R_C->NET3->M_G->NM28->M_B->VSS->M_B->NM17->M_G->VB3->M_G->NM17->M_B->VSS->C_C->C13->C_C->IB1->M_S->NM17->M_D->VDD->R_C->R26->R_C->VOUT1->M_D->NM14->M_BS->VSS->M_B->NM28->M_B->VSS->M_B->NM28->M_B->VSS->M_B->NM14->M_S->VSS->C_C->C5->C_C->NET2->R_C->R9->R_C->NET1->M_S->NM28->M_B->VSS->C_C->C1->C_C->NET2->M_G->NM14->M_D->VOUT1->R_C->R24->R_C->VDD->R_C->R15->R_C->VOUT1->C_C->C6->C_C->VSS,,,,,,,,
e51a4307801f838b4bf6a0c08117f4e05f55ca1d,CIRCUIT_Opamp->VSS->M_BDGS->NM27->M_B->VSS->C_C->C7->C_C->VOUT1->M_D->NM8->M_S->NET2->M_D->NM3->M_B->VSS->M_B->NM8->M_G->IB1->M_G->NM8->M_D->VOUT1->R_C->R2->R_C->VDD->R_C->R11->R_C->VOUT1->M_D->NM8->M_S->NET2->M_D->NM3->M_S->NET2->M_S->NM3->M_G->VIN2->M_G->NM3->M_B->VSS,,,,,,,,
4b08a4a7c1801cd5d25256b5be4a8009ddf2f284,CIRCUIT_Opamp->VSS->M_BG->NM29->M_D->VOUT2->R_C->R2->R_C->VDD->R_C->R11->R_C->VOUT1->M_D->NM5->M_G->VIN1->M_G->NM5->M_B->VSS->M_B->NM5->M_S->IB2->M_S->NM29->M_G->VSS,,,,,,,,
f2a8afe818aa6f8143a8a0b119212099e5892770,CIRCUIT_Opamp->VSS->L_C->L8->L_C->NET4->C_C->C7->C_C->NET2->L_C->L13->L_C->NET3->C_C->C3->C_C->VSS->C_C->C5->C_C->NET1->L_C->L19->L_C->VSS->M_B->NM5->M_S->NET3->M_S->NM5->M_D->VOUT1->R_C->R24->R_C->VDD->L_C->L16->L_C->VOUT1->M_D->NM5->M_G->VDD->R_C->R11->R_C->VOUT1->M_D->NM5->M_B->VSS->R_C->R26->R_C->NET2->M_G->NM23->M_B->VSS->M_B->NM23->M_D->NET1->M_S->NM23->M_G->NET2->C_C->C13->C_C->VSS->C_C->C9->C_C->IB1->C_C->C1->C_C->VSS->M_BS->NM15->M_G->VIN1->M_G->NM15->M_D->NET3->M_S->NM5->M_B->VSS,,,,,,,,
486a79a9236342a6f23a0b068e1003f39b6abfb1,CIRCUIT_Opamp->VSS->M_B->NM13->M_D->VOUT1->R_C->R24->R_C->VDD->R_C->R11->R_C->VOUT1->M_D->NM13->M_S->NET1->R_C->R26->R_C->VIN1->R_C->R21->R_C->NET1->M_S->NM13->M_G->VB1->M_G->NM13->M_B->VSS,,,,,,,,
b15f658a7d8ebd3fa635d147a1759b743b0b128b,CIRCUIT_Opamp->VSS->M_BS->NM28->M_DG->NET2->M_G->NM5->M_BS->VSS->M_BS->NM24->M_D->NET1->M_G->PM24->M_BS->VDD->M_BS->PM10->M_DG->NET1->M_G->PM34->M_D->NET3->M_S->PM19->M_D->NET8->M_DG->NM16->M_BS->VSS->M_BS->NM15->M_G->NET4->M_DG->NM20->M_BS->VSS->M_BS->NM5->M_D->VOUT1->M_D->PM24->M_BS->VDD->M_BS->PM34->M_D->NET3->M_S->PM13->M_B->NET6->M_B->PM19->M_G->VIN2->M_G->PM19->M_S->NET3->M_S->PM13->M_D->NET8->M_G->NM25->M_BS->VSS->M_BS->NM25->M_G->NET8->M_D->PM13->M_G->VIN1->M_G->PM13->M_S->NET3->M_D->PM34->M_BS->VDD->M_BS->PM10->M_DG->NET1->M_D->NM24->M_G->VB1->M_DG->NM1->M_BS->VSS->M_BS->NM25->M_D->VOUT1->C_C->C13->C_C->NET5->M_D->NM15->M_BS->VSS,,,,,,,,
8b98e27d15b4d41a3525097fb80aed1d79a10597,CIRCUIT_Opamp->VSS->M_B->NM26->M_G->VIN2->M_G->NM26->M_B->VSS->M_B->NM26->M_S->IB1->M_S->NM26->M_D->VOUT2->M_D->PM10->M_S->NET2->M_D->PM11->M_G->NET1->M_D->NM1->M_G->VIN1->M_G->NM1->M_S->IB1->M_S->NM26->M_D->VOUT2->M_D->PM10->M_G->NET1->M_G->PM11->M_BS->VDD->M_B->PM10->M_G->NET1->M_DG->PM34->M_BS->VDD->M_BS->PM11->M_G->NET1->M_D->NM1->M_B->VSS,,,,,,,,
c6f14f2ac4b9828254ce0e59cfdff04258e8f04d,CIRCUIT_Opamp->VSS->M_BS->NM23->M_D->VOUT1->M_D->PM24->M_G->NET1->M_D->NM18->M_S->NET4->M_D->NM24->M_BS->VSS->M_BS->NM26->M_G->NET2->M_DG->NM16->M_BS->VSS->M_B->NM18->M_G->VIN2->M_G->NM18->M_B->VSS->M_BS->NM26->M_D->NET3->M_G->PM2->M_BS->VDD->M_B->PM24->M_S->IB1->M_S->PM12->M_D->NET1->M_G->PM32->M_D->NET2->M_G->NM24->M_D->NET4->M_S->NM18->M_D->NET1->M_DG->PM23->M_BS->VDD->M_BS->PM32->M_G->NET1->M_G->PM24->M_D->VOUT1->M_D->NM23->M_G->NET2->M_D->PM2->M_G->NET3->M_DG->PM8->M_BS->VDD->M_B->PM12->M_G->VIN1->M_G->PM12->M_D->NET1->M_DG->PM23->M_DG->NET1->M_D->NM18->M_B->VSS,,,,,,,,
810e23782687b1d6a7e40208f4581fc604ce231d,CIRCUIT_Opamp->VSS->M_BS->NM33->M_D->VOUT1->M_D->PM12->M_B->NET6->M_B->PM34->M_D->NET4->M_G->NM33->M_BS->VSS->M_BS->NM22->M_D->NET3->M_G->PM24->M_BS->VDD->M_BS->PM7->M_DG->NET2->M_G->PM25->M_BS->VDD->M_BS->PM1->M_DG->NET3->M_D->NM22->M_BS->VSS->M_BS->NM16->M_G->VB2->R_C->R21->R_C->NET1->M_D->NM16->M_D->NET1->M_G->NM22->M_BS->VSS->M_BS->NM22->M_D->NET3->M_G->PM12->M_S->NET1->M_G->NM22->M_D->NET3->M_DG->PM1->M_BS->VDD->M_BS->PM24->M_D->VB1->M_G->NM27->M_BS->VSS->M_BS->NM27->M_D->NET2->M_D->NM27->M_BS->VSS->M_BS->NM27->M_G->VB1->M_D->PM24->M_BS->VDD->M_BS->PM25->M_D->NET1->M_S->PM34->M_G->VIN2->M_G->PM34->M_S->NET1->M_S->PM12->M_G->NET3->M_D->NM22->M_BS->VSS,,,,,,,,
57799e03f2391c3ead4c48f75aff10efec889033,CIRCUIT_Opamp->VSS->M_BS->NM33->M_BD->VSS->R_C->R11->R_C->NET2->M_G->PM10->M_BS->VDD->M_BS->PM1->M_G->NET2->M_S->PM23->M_B->VDD->M_B->PM30->M_G->NET1->M_D->NM35->M_G->VIN1->M_S->PM30->M_D->NET1->M_DG->NM26->M_BS->VSS->C_C->C13->C_C->VOUT1->M_D->PM1->M_BS->VDD->M_BS->PM10->M_D->VOUT1->M_D->NM24->M_G->NET1->M_D->PM30->M_S->VIN1->M_S->PM30->M_G->NET1->M_G->NM24->M_BS->VSS->M_BS->NM35->M_BS->VSS->M_BS->NM33->M_G->NET1->M_G->NM24->M_BS->VSS->M_BS->NM24->M_BS->VSS->M_BS->NM33->M_D->VSS->M_BS->NM35->M_D->NET1->M_G->NM24->M_BS->VSS->M_BS->NM24->M_D->VOUT1->M_D->PM10->M_BS->VDD->M_B->PM23->M_DG->NET2->M_G->PM1->M_BS->VDD->M_BS->PM10->M_G->NET2->R_C->R9->R_C->VSS,,,,,,,,
